date,hour,covers,weather,is_weekend,special_event
2026-03-28,19,94,sunny,True,St. Patrick's Day
2026-03-28,20,70,sunny,True,St. Patrick's Day
2026-03-28,21,46,sunny,True,St. Patrick's Day
2026-03-29,12,52,cloudy,True,
2026-03-29,13,122,cloudy,True,
2026-03-29,14,95,cloudy,True,
2026-03-29,19,102,cloudy,True,
2026-03-29,20,75,cloudy,True,
2026-03-29,21,50,cloudy,True,
2026-03-30,12,30,cloudy,False,
2026-03-30,13,72,cloudy,False,
2026-03-30,14,55,cloudy,False,
2026-03-30,19,58,cloudy,False,
2026-03-30,20,42,cloudy,False,
2026-03-30,21,26,cloudy,False,
2026-03-31,12,27,sunny,False,
2026-03-31,13,63,sunny,False,
2026-03-31,14,49,sunny,False,
2026-03-31,19,52,sunny,False,
2026-03-31,20,38,sunny,False,
2026-03-31,21,23,sunny,False,
2026-04-01,12,22,rainy,False,
2026-04-01,13,52,rainy,False,
2026-04-01,14,40,rainy,False,
2026-04-01,19,43,rainy,False,
2026-04-01,20,31,rainy,False,
2026-04-01,21,19,rainy,False,
2026-04-02,12,33,sunny,False,
2026-04-02,13,78,sunny,False,
2026-04-02,14,60,sunny,False,
2026-04-02,19,64,sunny,False,
2026-04-02,20,47,sunny,False,
2026-04-02,21,31,sunny,False,
2026-04-03,12,36,sunny,False,
2026-04-03,13,84,sunny,False,
2026-04-03,14,65,sunny,False,
2026-04-03,19,69,sunny,False,
2026-04-03,20,51,sunny,False,
2026-04-03,21,33,sunny,False,
2026-04-04,12,55,sunny,True,
2026-04-04,13,128,sunny,True,
2026-04-04,14,100,sunny,True,
2026-04-04,19,106,sunny,True,
2026-04-04,20,78,sunny,True,
2026-04-04,21,52,sunny,True,
2026-04-05,12,58,cloudy,True,
2026-04-05,13,135,cloudy,True,
2026-04-05,14,105,cloudy,True,
2026-04-05,19,112,cloudy,True,
2026-04-05,20,82,cloudy,True,
2026-04-05,21,55,cloudy,True,
2026-04-06,12,32,sunny,False,
2026-04-06,13,75,sunny,False,
2026-04-06,14,58,sunny,False,
2026-04-06,19,62,sunny,False,
2026-04-06,20,46,sunny,False,
2026-04-06,21,28,sunny,False,
2026-04-07,12,28,cloudy,False,
2026-04-07,13,66,cloudy,False,
2026-04-07,14,51,cloudy,False,
2026-04-07,19,54,cloudy,False,
2026-04-07,20,40,cloudy,False,
2026-04-07,21,24,cloudy,False,
2026-04-08,12,20,rainy,False,
2026-04-08,13,47,rainy,False,
2026-04-08,14,36,rainy,False,
2026-04-08,19,39,rainy,False,
2026-04-08,20,28,rainy,False,
2026-04-08,21,17,rainy,False,
2026-04-09,12,35,sunny,False,
2026-04-09,13,82,sunny,False,
2026-04-09,14,63,sunny,False,
2026-04-09,19,67,sunny,False,
2026-04-09,20,50,sunny,False,
2026-04-09,21,32,sunny,False,
2026-04-10,12,38,sunny,False,
2026-04-10,13,89,sunny,False,
2026-04-10,14,69,sunny,False,
2026-04-10,19,73,sunny,False,
2026-04-10,20,54,sunny,False,
2026-04-10,21,35,sunny,False,
2026-04-11,12,60,sunny,True,
2026-04-11,13,140,sunny,True,
2026-04-11,14,109,sunny,True,
2026-04-11,19,116,sunny,True,
2026-04-11,20,85,sunny,True,
2026-04-11,21,57,sunny,True,
2026-04-12,12,62,cloudy,True,
2026-04-12,13,145,cloudy,True,
2026-04-12,14,113,cloudy,True,
2026-04-12,19,120,cloudy,True,
2026-04-12,20,88,cloudy,True,
2026-04-12,21,59,cloudy,True,
2026-04-13,12,34,sunny,False,
2026-04-13,13,80,sunny,False,
2026-04-13,14,62,sunny,False,
2026-04-13,19,66,sunny,False,
2026-04-13,20,49,sunny,False,
2026-04-13,21,30,sunny,False,
2026-04-14,12,30,cloudy,False,
2026-04-14,13,70,cloudy,False,
2026-04-14,14,54,cloudy,False,
2026-04-14,19,58,cloudy,False,
2026-04-14,20,43,cloudy,False,
2026-04-14,21,26,cloudy,False,
2026-04-15,12,37,sunny,False,
2026-04-15,13,87,sunny,False,
2026-04-15,14,67,sunny,False,
2026-04-15,19,72,sunny,False,
2026-04-15,20,53,sunny,False,
2026-04-15,21,34,sunny,False,
